id,card_holder_key,card_holder,card_holder_inst_key,building_key,date_key,time_key,reader_key,user_type,hour,used_presence_this_day,is_enrolled_today,company,user_type_label
30,211,7c81f492-0cca-fc8f-9f02-e80fe36f76a2,11,4,20251218,706,11,1,11,0,1,RGN-New York XXXII LLC,Personnel
31,274,446d13ab-c32f-2891-362f-54a2fc21d6ad,21,4,20260127,826,12,2,13,0,0,STRAUB COLLABORATIVE,Visitor
32,226,97bf0c03-ec79-b168-9c70-3bc506983b03,13,2,20251114,921,12,2,15,0,0,Roku,Visitor
33,77,c9e6de25-6c6d-aa21-b5f1-e1b19cee9ef6,3,2,20251120,568,17,1,9,0,1,FASHIONPHILE,Personnel
34,20,00fe1ff0-9954-48bb-d160-90073892c2f0,1,1,20260212,669,2,1,11,0,0,The New York & Presbyterian,Personnel
35,90,0237f393-aae5-d173-a32c-020eeb16207d,3,2,20251114,609,3,1,10,0,0,FASHIONPHILE,Personnel
36,147,c17b1348-3a36-0ba7-8391-9f8ebc4d92d6,6,1,20251216,579,9,1,9,0,0,Jack Studios Inc,Personnel
37,218,72155ecc-855c-c933-e439-202dd8bef13c,12,3,20251103,560,8,1,9,0,0,Palantir & Current,Personnel
38,91,2f3d9a2a-5cdc-266c-889f-bfc160332706,4,2,20251106,755,13,1,12,0,0,Convene,Personnel
39,269,c33a4658-a168-19f8-0fdf-c70240a735b2,20,3,20260203,1084,2,1,18,0,0,West Monroe,Personnel
40,77,c9e6de25-6c6d-aa21-b5f1-e1b19cee9ef6,3,2,20251121,542,16,2,9,0,0,FASHIONPHILE,Visitor
41,141,585ccf26-4246-9083-979b-3e11ed5c96a5,6,1,20251118,855,7,1,14,0,0,Jack Studios Inc,Personnel
42,187,90abddba-83e8-6f11-1e7e-cfb56a625411,9,1,20251124,637,2,1,10,0,0,Warburg Pincus,Personnel
43,259,7632e70d-a55a-de63-d58c-42dbc930b1ca,18,1,20251231,687,10,1,11,0,0,RXR (75 Rock),Personnel
44,12,b3396a7c-95c4-accb-e049-1431903850c5,1,1,20260113,547,13,1,9,0,1,The New York & Presbyterian,Personnel
45,111,8e548622-ae7d-5012-54e4-ea9ec9805bda,4,2,20260130,548,9,1,9,0,0,Convene,Personnel
46,71,90b1141d-899f-c9b1-5caa-d5d3fa56aec6,3,2,20251212,634,10,1,10,0,0,FASHIONPHILE,Personnel
47,194,8fb5a23e-c950-ce69-f06a-d956a373c054,9,1,20251215,737,17,1,12,0,0,Warburg Pincus,Personnel
48,119,e6037a42-644e-0795-4680-a004d2c20519,5,2,20251103,651,19,1,10,0,0,Convene 31,Personnel
49,81,3c6607ec-3a46-f23c-8ee3-b95b9ab30286,3,2,20251218,973,11,1,16,0,0,FASHIONPHILE,Personnel
50,73,4fd57be5-20d0-23f0-d53b-7cf8abbae1a1,3,2,20251210,650,12,1,10,0,0,FASHIONPHILE,Personnel
51,209,590e0260-8fc2-da42-0091-28adacf8f045,11,4,20260113,637,16,1,10,0,0,RGN-New York XXXII LLC,Personnel
52,56,9a612bba-141b-0166-f3a7-bee44ca62d5e,2,1,20251113,719,5,1,11,0,0,Ralph Lauren Corporation,Personnel
53,116,f1b75f8e-414e-c4b5-00c8-d52ece9d8565,5,2,20251124,676,11,1,11,0,0,Convene 31,Personnel
54,196,8bf33d70-3ae6-fe04-9f43-827a2b067afe,10,4,20251209,655,2,1,10,0,0,Linhart Dentistry,Personnel
55,155,c15dc3c6-879b-4d76-efcb-fcb55d1e6214,7,3,20260115,434,15,1,7,0,0,Mizuho Americas Services,Personnel
56,275,e2d768ed-b72f-c306-f2c4-eca1f76040fe,21,4,20260203,547,20,1,9,0,0,STRAUB COLLABORATIVE,Personnel
57,103,35b30d2f-1b6c-cfc5-0e89-270841512c15,4,2,20251124,700,4,1,11,0,0,Convene,Personnel
58,5,dcce1615-aa77-98c1-4049-ce588cabbcf2,1,1,20251216,666,6,1,11,0,0,The New York & Presbyterian,Personnel
59,227,0d07eedf-aa28-8d27-15ab-2292b9377e9c,13,2,20251126,702,10,1,11,1,1,Roku,Personnel
60,130,189cfb80-115b-eb17-a31a-880583466263,5,2,20260109,972,15,1,16,0,0,Convene 31,Personnel
61,61,58adfc00-194f-3207-37f2-3d1c5873df31,2,1,20251231,555,19,2,9,0,0,Ralph Lauren Corporation,Visitor
62,44,2d4ef446-b0b1-9641-a3dd-96599f454fbf,1,1,20260205,614,1,1,10,0,0,The New York & Presbyterian,Personnel
63,135,37883505-252d-253e-a07c-d141a580dd07,6,1,20260123,1066,2,1,17,0,0,Jack Studios Inc,Personnel
64,275,e2d768ed-b72f-c306-f2c4-eca1f76040fe,21,4,20260113,641,11,1,10,1,1,STRAUB COLLABORATIVE,Personnel
65,40,04dc731f-2ef1-8704-e4de-276732484f66,1,1,20260109,658,13,1,10,0,0,The New York & Presbyterian,Personnel
66,298,dc2ac6f8-d3f4-d9c7-c274-aa7010fedaf8,29,2,20260204,748,19,1,12,1,1,OXO International Inc,Personnel
67,19,4d5f09e3-1c7d-aa87-f59d-42bb347b7eee,1,1,20251223,774,2,1,12,0,0,The New York & Presbyterian,Personnel
68,78,c1f4fada-315b-5e69-40a6-c927127e4bc6,3,2,20251111,781,17,1,13,0,1,FASHIONPHILE,Personnel
69,157,205f2f81-1c15-659b-9c72-31ac33184cb7,7,3,20251125,906,13,1,15,0,0,Mizuho Americas Services,Personnel
70,148,ac9d79f5-4234-91d0-11be-eb43ceb357d4,6,1,20260127,688,17,1,11,0,0,Jack Studios Inc,Personnel
71,146,5c434496-2e8c-3496-3e16-22e8e78e03f2,6,1,20251105,591,1,1,9,0,0,Jack Studios Inc,Personnel
72,59,cc6b6a81-8e6b-00fd-b027-35ced08bbdf5,2,1,20260212,650,15,1,10,1,1,Ralph Lauren Corporation,Personnel
73,257,14d78cd4-f5bf-c561-0ba5-773c85696511,18,1,20251125,711,18,1,11,0,0,RXR (75 Rock),Personnel
74,77,c9e6de25-6c6d-aa21-b5f1-e1b19cee9ef6,3,2,20251113,559,17,1,9,0,0,FASHIONPHILE,Personnel
75,209,590e0260-8fc2-da42-0091-28adacf8f045,11,4,20260107,638,18,2,10,0,0,RGN-New York XXXII LLC,Visitor
76,232,d3fdbe3e-4b6b-abd1-ccce-024807d4d95b,14,1,20251128,500,10,1,8,0,0,32 BJ Union,Personnel
77,32,1aeab4a0-da16-2190-a658-562d7c11544d,1,1,20251202,654,15,1,10,0,0,The New York & Presbyterian,Personnel
78,173,7156224d-6ba0-834b-470e-0e48b3e13072,8,3,20251216,941,7,1,15,0,0,Amazon,Personnel
79,141,585ccf26-4246-9083-979b-3e11ed5c96a5,6,1,20260202,672,8,2,11,0,0,Jack Studios Inc,Visitor
80,54,149f31a3-a77c-57a3-75cd-148a2cda2a15,2,1,20260102,554,17,1,9,0,0,Ralph Lauren Corporation,Personnel
81,96,89504b4e-ae35-7bfd-750e-2aa682407952,4,2,20251202,582,19,1,9,0,0,Convene,Personnel
82,124,c751cc4a-36fc-f9ae-a6d8-ab1f25da3e8d,5,2,20251118,842,2,1,14,0,0,Convene 31,Personnel
83,65,cc602dda-eea9-e82b-49e4-3a3583652287,2,1,20251224,547,12,1,9,0,0,Ralph Lauren Corporation,Personnel
84,288,24635db7-6572-c8a5-3f10-ac700daf4bc2,24,2,20251128,592,16,1,9,0,0,Locality,Personnel
85,56,9a612bba-141b-0166-f3a7-bee44ca62d5e,2,1,20251231,504,12,1,8,0,0,Ralph Lauren Corporation,Personnel
86,48,44448012-1132-7e36-978e-8e3a6ab9c301,2,1,20260130,1011,14,1,16,1,1,Ralph Lauren Corporation,Personnel
87,190,364e1246-38e5-a9ad-d16e-7b3269d8801f,9,1,20251104,517,1,1,8,0,0,Warburg Pincus,Personnel
88,245,84a684b8-9fb8-45e8-6452-2610914afae7,16,5,20260107,885,8,1,14,0,0,Guidehouse,Personnel
89,272,ce8e4e06-9d22-ba68-1f2f-f3b5dc240587,20,3,20260112,1035,15,1,17,1,1,West Monroe,Personnel
90,24,052d3456-bf63-939b-e6bb-264b60d69376,1,1,20251208,1107,13,1,18,0,1,The New York & Presbyterian,Personnel
91,38,f361245f-e671-ec9c-9d65-5fb5b1c5589a,1,1,20260126,555,13,1,9,0,0,The New York & Presbyterian,Personnel
92,64,08730655-0aec-4ad5-6e69-2da73f4f4cbd,2,1,20251112,643,14,2,10,0,0,Ralph Lauren Corporation,Visitor
93,150,644c2222-975f-5cfb-1f85-163d2a8bfa75,7,3,20260212,811,9,1,13,0,0,Mizuho Americas Services,Personnel
94,28,3919f338-f22c-dcca-a980-b6d5b90849fd,1,1,20260109,877,14,2,14,0,1,The New York & Presbyterian,Visitor
95,173,7156224d-6ba0-834b-470e-0e48b3e13072,8,3,20260205,439,8,1,7,0,0,Amazon,Personnel
96,69,9b0b5824-3206-0961-db19-b5a6bf2ff3bf,2,1,20251203,563,13,1,9,0,0,Ralph Lauren Corporation,Personnel
97,112,59fe0e04-8bc5-8487-f8d8-cc36649d002a,5,2,20251222,779,20,2,12,0,0,Convene 31,Visitor
98,93,521488bc-f348-10d4-47b4-0548ba769264,4,2,20260204,502,11,1,8,0,0,Convene,Personnel
99,131,827ed2f0-ac49-49cb-da81-cbd09c862eea,6,1,20260204,749,18,1,12,0,0,Jack Studios Inc,Personnel
100,93,521488bc-f348-10d4-47b4-0548ba769264,4,2,20260107,704,4,1,11,0,0,Convene,Personnel
101,92,03eadd55-3ced-2f7e-5dd1-f62d068a2039,4,2,20260116,550,6,1,9,0,1,Convene,Personnel
102,208,978c5f6d-4a07-852f-ec1d-5e908538def6,11,4,20251104,549,10,1,9,0,0,RGN-New York XXXII LLC,Personnel
103,133,78971143-2565-d391-6239-7d05b283d51b,6,1,20251103,839,5,1,13,0,0,Jack Studios Inc,Personnel
104,25,0010b8ac-a7cb-c470-8833-500bc78a071c,1,1,20260205,829,8,1,13,0,0,The New York & Presbyterian,Personnel
105,1,a2d996fc-9e97-16e4-3c98-80a889ae7c23,1,1,20260204,628,17,2,10,0,0,The New York & Presbyterian,Visitor
106,76,88b66755-bc11-ed9b-d405-94058c0648dd,3,2,20260105,1059,18,1,17,0,0,FASHIONPHILE,Personnel
107,130,189cfb80-115b-eb17-a31a-880583466263,5,2,20260210,569,19,1,9,0,0,Convene 31,Personnel
108,246,90ed8305-1457-8457-1b71-fc951c8fab19,16,5,20260212,883,12,1,14,0,0,Guidehouse,Personnel
109,65,cc602dda-eea9-e82b-49e4-3a3583652287,2,1,20260115,1092,20,1,18,0,0,Ralph Lauren Corporation,Personnel
110,278,7f1f3fd9-b63c-71e8-2fe8-ffbadff9d442,22,5,20251113,605,13,1,10,0,0,JP Morgan Chase,Personnel
111,143,a3dfcc29-c6bb-2fe3-635c-e5982d7cb835,6,1,20260115,867,5,1,14,0,0,Jack Studios Inc,Personnel
112,4,ee89629c-b43b-eeb9-00fb-ef14f8b9553c,1,1,20260116,1079,17,1,17,0,0,The New York & Presbyterian,Personnel
113,51,f228fd16-3afd-dab9-0bfc-fb69a5a2f572,2,1,20260108,774,19,1,12,1,1,Ralph Lauren Corporation,Personnel
114,164,5b0ff123-0d52-9813-8770-9f1fda62fd59,7,3,20251112,816,2,1,13,0,0,Mizuho Americas Services,Personnel
115,43,919204f7-7dee-8acb-e7b3-3ef5d96ba78a,1,1,20251205,509,14,2,8,0,0,The New York & Presbyterian,Visitor
116,212,22641690-d15c-01b2-9564-f5f9e3fc371e,11,4,20260115,712,19,1,11,0,0,RGN-New York XXXII LLC,Personnel
117,223,64591253-d8a1-c945-7861-f0fb97b6b787,13,2,20251120,794,9,1,13,0,0,Roku,Personnel
118,85,2e7ec643-23c3-3688-05b9-5d7c60f10718,3,2,20251117,617,12,2,10,0,0,FASHIONPHILE,Visitor
119,149,b7dfb126-b616-4b1c-2bee-30df88784719,6,1,20251105,628,11,2,10,0,0,Jack Studios Inc,Visitor
120,235,f06e7818-c806-e815-6f72-0adca9c98da0,14,1,20260211,565,11,1,9,0,0,32 BJ Union,Personnel
121,249,db81b5e0-ed39-264c-eec1-fbd4b229af8b,17,4,20251113,731,12,1,12,0,0,StoneX Group Inc,Personnel
122,100,d144b854-d786-59dd-1185-2ef56635747b,4,2,20251219,646,6,1,10,0,0,Convene,Personnel
123,255,7ac90808-30b5-2af4-931f-6f843de8f4a1,18,1,20251126,917,1,1,15,0,0,RXR (75 Rock),Personnel
124,34,b46d8161-b151-5ccb-19f7-3ee9c247e006,1,1,20251215,650,6,2,10,0,0,The New York & Presbyterian,Visitor
125,206,09d32a2c-5d24-2352-a8d5-70000d983750,11,4,20260130,1099,15,1,18,0,1,RGN-New York XXXII LLC,Personnel
126,69,9b0b5824-3206-0961-db19-b5a6bf2ff3bf,2,1,20251217,792,10,1,13,0,0,Ralph Lauren Corporation,Personnel
127,164,5b0ff123-0d52-9813-8770-9f1fda62fd59,7,3,20260113,542,17,1,9,0,0,Mizuho Americas Services,Personnel
128,36,fcc99495-138a-c336-7dea-1cdb18d9c42d,1,1,20260102,669,9,1,11,0,0,The New York & Presbyterian,Personnel
129,187,90abddba-83e8-6f11-1e7e-cfb56a625411,9,1,20251124,902,18,1,15,0,0,Warburg Pincus,Personnel
130,223,64591253-d8a1-c945-7861-f0fb97b6b787,13,2,20251103,681,1,1,11,0,0,Roku,Personnel
131,123,10e3b296-1542-653f-832b-fcb99f0f2dbb,5,2,20260112,789,14,1,13,0,0,Convene 31,Personnel
132,134,45900178-3626-7b9e-00bf-5aa273678844,6,1,20251106,599,14,1,9,0,0,Jack Studios Inc,Personnel
133,107,eb36e847-ced1-f9a9-6ca2-16ddecbaddac,4,2,20260112,557,11,1,9,0,0,Convene,Personnel
134,193,855f28c6-1a3d-3f6a-b16a-357f814296fe,9,1,20251222,1021,6,1,17,0,0,Warburg Pincus,Personnel
135,236,75ad8198-7bc2-c2ba-117c-f51d99587e8f,15,5,20251124,580,12,1,9,0,0,Canada,Personnel
136,7,1d2a6e46-8de1-6bb4-5927-fe7483fc0f15,1,1,20251121,859,6,1,14,0,0,The New York & Presbyterian,Personnel
137,79,699ef2e0-c233-e3a5-fa80-0ca876b89722,3,2,20251105,698,14,1,11,0,0,FASHIONPHILE,Personnel
138,138,8f0d0049-0a58-d530-3f5b-8da2eae40ca1,6,1,20251212,677,2,1,11,0,0,Jack Studios Inc,Personnel
139,82,2a2686a4-90f3-4ff1-6782-c122b97c196c,3,2,20260128,540,6,1,9,1,1,FASHIONPHILE,Personnel
140,275,e2d768ed-b72f-c306-f2c4-eca1f76040fe,21,4,20260204,676,7,1,11,0,0,STRAUB COLLABORATIVE,Personnel
141,108,1573d3a7-87e6-42d9-c0c2-1d35267ccc1f,4,2,20260202,600,13,1,10,0,0,Convene,Personnel
142,289,01505081-ecee-56f3-fa61-e12120ca2911,25,3,20260121,899,1,1,14,0,0,Persistent Systems LLC,Personnel
143,188,9a1aedfe-e476-9fba-a6a1-8f8f6594b1a2,9,1,20260209,544,8,1,9,0,0,Warburg Pincus,Personnel
144,90,0237f393-aae5-d173-a32c-020eeb16207d,3,2,20251222,772,11,1,12,1,1,FASHIONPHILE,Personnel
145,66,02d325d2-5735-cb56-a419-10c3d5e8b901,2,1,20251114,966,2,2,16,0,0,Ralph Lauren Corporation,Visitor
146,98,098e9e87-dc8e-cac5-61d0-7922263d5f20,4,2,20260209,598,13,1,9,0,0,Convene,Personnel
147,182,d383042a-d4e9-89e0-e340-17d711d8ce32,9,1,20260120,757,16,1,12,0,0,Warburg Pincus,Personnel
148,188,9a1aedfe-e476-9fba-a6a1-8f8f6594b1a2,9,1,20260202,816,17,1,13,0,0,Warburg Pincus,Personnel
149,40,04dc731f-2ef1-8704-e4de-276732484f66,1,1,20251106,878,2,1,14,0,0,The New York & Presbyterian,Personnel
150,2,ce5ba133-1ae0-ef24-7369-f3921b5a442f,1,1,20251111,879,19,1,14,0,0,The New York & Presbyterian,Personnel
151,63,3892c748-1b8a-ebb3-27d5-b38e42c730a4,2,1,20251223,680,7,1,11,1,1,Ralph Lauren Corporation,Personnel
152,12,b3396a7c-95c4-accb-e049-1431903850c5,1,1,20251211,951,10,1,15,0,0,The New York & Presbyterian,Personnel
153,295,a120e9ae-cd3d-2774-8b69-8b9cc078085f,28,1,20260105,792,8,1,13,0,0,BasePoint Capital,Personnel
154,59,cc6b6a81-8e6b-00fd-b027-35ced08bbdf5,2,1,20251209,593,10,1,9,0,0,Ralph Lauren Corporation,Personnel
155,219,cecd1073-da2a-5a10-5f46-85b996d993b2,12,3,20260212,595,11,1,9,0,0,Palantir & Current,Personnel
156,252,9233d4c3-f3c0-1d56-f8b9-820ebc1f2d46,17,4,20260211,655,9,1,10,0,0,StoneX Group Inc,Personnel
157,240,8d633117-fe5b-8fd9-ca5c-aa6074d48c2c,15,5,20251121,542,20,2,9,0,0,Canada,Visitor
158,53,f98cd177-0707-41d3-cf3d-1bd1397b7b0e,2,1,20260204,616,9,1,10,0,0,Ralph Lauren Corporation,Personnel
159,109,3b37bdc4-87df-7820-d73c-89df2b0beb7c,4,2,20251231,761,2,1,12,0,0,Convene,Personnel
160,178,0dcf15f5-f087-d43f-3abf-2990bda5c0eb,8,3,20260202,858,20,1,14,0,0,Amazon,Personnel
161,202,9f502a29-f707-81f3-3376-d335be6c6225,10,4,20260128,657,4,1,10,0,0,Linhart Dentistry,Personnel
162,20,00fe1ff0-9954-48bb-d160-90073892c2f0,1,1,20251211,607,5,1,10,0,0,The New York & Presbyterian,Personnel
163,19,4d5f09e3-1c7d-aa87-f59d-42bb347b7eee,1,1,20251120,641,18,1,10,0,0,The New York & Presbyterian,Personnel
164,101,fde7ddd2-b63c-db47-391f-f55398bfe71b,4,2,20260116,541,13,1,9,0,0,Convene,Personnel
165,58,d112b16f-b0e9-f3be-51db-58d0756e8327,2,1,20260114,723,17,1,12,1,1,Ralph Lauren Corporation,Personnel
166,65,cc602dda-eea9-e82b-49e4-3a3583652287,2,1,20260127,773,2,1,12,0,0,Ralph Lauren Corporation,Personnel
167,176,9d09c906-b028-0a68-3472-00433d506de3,8,3,20251211,527,1,2,8,0,0,Amazon,Visitor
168,274,446d13ab-c32f-2891-362f-54a2fc21d6ad,21,4,20260211,648,4,1,10,0,0,STRAUB COLLABORATIVE,Personnel
169,62,b316cf7c-4004-ea8c-6467-85619c2652de,2,1,20251119,825,3,1,13,0,0,Ralph Lauren Corporation,Personnel
170,181,ac4dc73d-cbad-8afc-bba6-e296288a1b0f,8,3,20260114,698,19,1,11,0,0,Amazon,Personnel
171,118,7f69be5f-db4a-fafa-815f-f52841f1cddb,5,2,20251205,969,12,1,16,0,0,Convene 31,Personnel
172,184,087a01f1-f785-3f7d-711f-907290f15664,9,1,20251216,561,8,1,9,0,0,Warburg Pincus,Personnel
173,122,27b115fb-2055-2c0d-2411-0dd0f97236f7,5,2,20251230,862,11,1,14,0,0,Convene 31,Personnel
174,159,01f4d736-6455-b812-d720-62f7b6eedc41,7,3,20260203,637,12,1,10,0,0,Mizuho Americas Services,Personnel
175,173,7156224d-6ba0-834b-470e-0e48b3e13072,8,3,20251201,812,15,1,13,0,0,Amazon,Personnel
176,129,ed3833c8-428b-cb03-9b7f-4bd255ecab7a,5,2,20251211,730,1,1,12,0,0,Convene 31,Personnel
177,16,826521ff-cb97-62e4-f0c7-e38139560ea2,1,1,20251103,741,20,1,12,0,0,The New York & Presbyterian,Personnel
178,6,7ca47c89-8972-22b9-acc5-726e7ea166fe,1,1,20251224,804,4,1,13,0,0,The New York & Presbyterian,Personnel
179,290,d0d05c5a-d126-2a11-8f39-c42e82fe97cd,25,3,20251104,574,19,1,9,0,0,Persistent Systems LLC,Personnel
180,28,3919f338-f22c-dcca-a980-b6d5b90849fd,1,1,20251103,967,16,1,16,0,0,The New York & Presbyterian,Personnel
181,77,c9e6de25-6c6d-aa21-b5f1-e1b19cee9ef6,3,2,20260210,1019,14,1,16,0,0,FASHIONPHILE,Personnel
182,110,4a6dd748-301f-dd4d-c854-9018a937a9f3,4,2,20260202,584,15,1,9,0,0,Convene,Personnel
183,223,64591253-d8a1-c945-7861-f0fb97b6b787,13,2,20260128,549,5,1,9,0,0,Roku,Personnel
184,187,90abddba-83e8-6f11-1e7e-cfb56a625411,9,1,20251120,703,5,1,11,0,0,Warburg Pincus,Personnel
185,193,855f28c6-1a3d-3f6a-b16a-357f814296fe,9,1,20251126,965,8,1,16,1,1,Warburg Pincus,Personnel
186,181,ac4dc73d-cbad-8afc-bba6-e296288a1b0f,8,3,20251117,550,17,1,9,0,0,Amazon,Personnel
187,112,59fe0e04-8bc5-8487-f8d8-cc36649d002a,5,2,20251210,912,5,1,15,0,0,Convene 31,Personnel
188,43,919204f7-7dee-8acb-e7b3-3ef5d96ba78a,1,1,20251124,695,1,2,11,0,1,The New York & Presbyterian,Visitor
189,286,07294c28-54d0-b560-0fc5-62f8a87f070a,24,2,20260109,844,20,1,14,1,1,Locality,Personnel
190,102,87d756d6-6ccb-890e-7763-c3cfdc28593c,4,2,20260109,643,8,1,10,0,0,Convene,Personnel
191,244,7d46b8c4-ff9d-c479-a816-0a9a992e63f9,16,5,20260203,783,10,1,13,0,0,Guidehouse,Personnel
192,180,4cd6b1a1-d78e-20cf-d347-f0dc907db867,8,3,20260210,605,12,2,10,0,0,Amazon,Visitor
193,131,827ed2f0-ac49-49cb-da81-cbd09c862eea,6,1,20251104,585,1,1,9,0,0,Jack Studios Inc,Personnel
194,159,01f4d736-6455-b812-d720-62f7b6eedc41,7,3,20260102,663,15,1,11,1,1,Mizuho Americas Services,Personnel
195,297,6c78b4a3-6840-6be7-471b-67eb877b54ca,29,2,20251111,942,14,2,15,0,0,OXO International Inc,Visitor
196,253,2a84fae7-ad6e-ceb2-50a5-ea605b912601,17,4,20260130,787,19,1,13,0,0,StoneX Group Inc,Personnel
197,274,446d13ab-c32f-2891-362f-54a2fc21d6ad,21,4,20251106,862,10,2,14,0,0,STRAUB COLLABORATIVE,Visitor
198,276,ad7ba83b-3253-f924-5b5b-3ebe8014cef9,21,4,20260206,717,9,1,11,0,0,STRAUB COLLABORATIVE,Personnel
199,172,02e8d818-a0ec-2701-0ff7-1221a482b10f,8,3,20251105,745,14,2,12,0,0,Amazon,Visitor
200,189,9542698a-0ae9-fb94-816f-b5e4e9b773d6,9,1,20260211,1036,9,1,17,0,0,Warburg Pincus,Personnel
201,144,4dd95de3-60bd-8f86-535b-7f7bcd1da8f4,6,1,20260202,825,10,1,13,0,1,Jack Studios Inc,Personnel
202,212,22641690-d15c-01b2-9564-f5f9e3fc371e,11,4,20260205,860,20,1,14,0,0,RGN-New York XXXII LLC,Personnel
203,212,22641690-d15c-01b2-9564-f5f9e3fc371e,11,4,20251104,593,20,1,9,0,0,RGN-New York XXXII LLC,Personnel
204,104,41ed446f-8949-ce63-27de-5fa29551077d,4,2,20260121,556,1,1,9,0,0,Convene,Personnel
205,136,ab73affd-8024-03e9-753c-aa05046497be,6,1,20260114,540,13,1,9,0,0,Jack Studios Inc,Personnel
206,139,6a463b15-8a30-fb2e-3638-d3577130c933,6,1,20251230,554,1,1,9,0,0,Jack Studios Inc,Personnel
207,157,205f2f81-1c15-659b-9c72-31ac33184cb7,7,3,20251104,768,2,1,12,0,0,Mizuho Americas Services,Personnel
208,110,4a6dd748-301f-dd4d-c854-9018a937a9f3,4,2,20251120,916,10,1,15,0,0,Convene,Personnel
209,168,5c4d32cf-bd72-0552-f52e-7ded072a6024,8,3,20251217,793,6,1,13,0,0,Amazon,Personnel
210,209,590e0260-8fc2-da42-0091-28adacf8f045,11,4,20251117,744,17,1,12,0,0,RGN-New York XXXII LLC,Personnel
211,161,42616865-95ea-2b04-a5ea-3da7787d6cea,7,3,20251205,620,16,1,10,0,0,Mizuho Americas Services,Personnel
